,Title,Authors,id,Document Type,Source,Keywords
271,Malware detection using image representation of malware data and transfer learning,"Bin Zikria, Yousaf",WOS:000878770500002,Article,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,Hybrid features
272,Classification of (micro)plastics using cathodoluminescence and machine learning,"Urbanus, Jan Harm",WOS:000878619000004,Article,TALANTA,Scanning electron microscopy
273,Decision tree models in predicting water quality parameters of dissolved oxygen and phosphorus in lake water,"Zounemat-Kermani, Mohammad",WOS:000879304300001,Article,SUSTAINABLE WATER RESOURCES MANAGEMENT,Decision tree
274,A method for diagnosing rolling bearing faults based on SDAE-ADHKELM,"Jin, Wuyin",WOS:000878402000001,Article,MEASUREMENT SCIENCE AND TECHNOLOGY,sparrow search algorithms
275,Malignant melanoma diagnosis applying a machine learning method based on the combination of nonlinear and texture features,"Fattahi, Fariba",WOS:000878776000001,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Pat net
276,Automated diagnosis of COVID-19 using radiological modalities and Artificial Intelligence functionalities: A retrospective study based on chest HRCT database,"Barman, Geetanjali",WOS:000878751500001,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Deep learning
277,Identification and classification of coronavirus genomic signals based on linear predictive coding and machine learning methods,"Mozaffari-Tazehkand, Behzad",WOS:000877950400003,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Machine learning
278,An SMDP approach for Reinforcement Learning in HPC cluster schedulers,"Chaimowicz, Luiz",WOS:000877327400009,Article,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,Simulation
279,An incremental type-2 fuzzy classifier for stock trend prediction,"Safari, Ehram",WOS:000875503900010,Article,EXPERT SYSTEMS WITH APPLICATIONS,Concept drift
280,A novel study to classify breath inhalation and breath exhalation using audio signals from heart and trachea,"Sehirli, Eftal",WOS:000877950400005,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Machine learning
281,Dynamic gripping force estimation and reconstruction in EMG-based human-machine interaction,"Lai, King Wai Chiu",WOS:000877950400010,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Deep learning
282,ML-DSVM plus : A meta-learning based deep SVM plus for computer-aided diagnosis,"Shen, Dinggang",WOS:000870845200002,Article,PATTERN RECOGNITION,Meta-learning
283,Next-basket prediction in a high-dimensional setting using gated recurrent units,"Donkers, Bas",WOS:000875503900004,Article,EXPERT SYSTEMS WITH APPLICATIONS,Machine learning
284,On acoustic fields of complex scatters based on physics-informed neural networks,"Liu, Yang",WOS:000879217000003,Article,ULTRASONICS,Machine learning
285,Forecasting crude oil risk: A multiscale bidirectional generative adversarial network based approach,"He, Kaijian",WOS:000875503900008,Article,EXPERT SYSTEMS WITH APPLICATIONS,model
286,A fault diagnosis method for rolling bearings based on RDDAN under multivariable working conditions,"Huang, Chengzhuang",WOS:000877852500001,Article,MEASUREMENT SCIENCE AND TECHNOLOGY,dynamic distribution adaptation
287,A multiple association-based unsupervised feature selection algorithm for mixed data sets,"McKeever, Susan",WOS:000875503900015,Article,EXPERT SYSTEMS WITH APPLICATIONS,Feature engineering
288,ImageNet-Patch: A dataset for benchmarking machine learning robustness against adversarial patches,"Roli, Fabio",WOS:000877037900001,Article,PATTERN RECOGNITION,Detection
289,Materials processing model-driven discovery framework for porous materials using machine learning and genetic algorithm: A focus on optimization of permeability and filtration efficiency,"Matsumoto, Hideyuki",WOS:000876980700003,Article,CHEMICAL ENGINEERING JOURNAL,Filtration
290,Determination of the dominant physical processes in downward-propagating flame spread over a solid fuel using machine learning,"Zhou, Bo",WOS:000876920500007,Article,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,GMM-SPCA method
291,"Heusler alloys: Past, properties, new alloys, and prospects","Meyers, Marc A.",WOS:000876439100001,Review,PROGRESS IN MATERIALS SCIENCE,Giant magnetoresistance effect
292,Deep-learning cell-delay modeling for static timing analysis,"Ismail, Yehea",WOS:000874421900012,Article,AIN SHAMS ENGINEERING JOURNAL,Effective Current Source Model
293,I just want to matter: Examining the role of anti-mattering in online suicide support communities using natural language processing,"Brewer, Lyndsey",WOS:000876428000003,Article,COMPUTERS IN HUMAN BEHAVIOR,Reddit
294,Comparison of classification techniques for the control of EOG-based HCIs,"Ferrero, Francisco J.",WOS:000875715200002,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Machine learning
295,"Covid-19 vaccine hesitancy: Text mining, sentiment analysis and machine learning on COVID-19 vaccination Twitter dataset","Cotae, Paul",WOS:000870848000009,Article,EXPERT SYSTEMS WITH APPLICATIONS,Twitter
296,Real time detection of cognitive load using fNIRS: A deep learning approach,"Basu, Anupam",WOS:000875715200004,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Baseline task (BL)
297,Addressing smartphone mismatch in Parkinson's disease detection aid systems based on speech,"Perez, Carlos J.",WOS:000875715200005,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Channel mismatch robustness
298,"A deep learning approach for automatic detection, segmentation and classification of breast lesions from thermal images","Bozkurt, Ahmet",WOS:000870848000004,Article,EXPERT SYSTEMS WITH APPLICATIONS,Transfer learning
299,An improved hybrid AI model for prediction of arrhythmia using ECG signals,"Sankaran, Atshaya P.",WOS:000875634300004,Article,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,Feature reduction
